iter	Passed	Remaining
406	5820	8480
407	5833	8463
408	5845	8446
409	5859	8431
410	5870	8412
411	5881	8394
412	5900	8386
413	5912	8369
414	5924	8351
415	5937	8335
416	5949	8318
417	5963	8303
418	5977	8288
419	5991	8273
420	6005	8259
421	6020	8246
422	6033	8230
423	6045	8212
424	6057	8196
425	6070	8179
426	6085	8165
427	6098	8150
428	6112	8135
429	6129	8125
430	6141	8108
431	6154	8092
432	6173	8084
433	6186	8068
434	6199	8051
435	6206	8029
436	6222	8016
437	6235	8000
438	6250	7986
439	6259	7966
440	6271	7948
441	6282	7931
442	6294	7914
443	6308	7899
444	6316	7877
445	6329	7862
446	6342	7846
447	6355	7830
448	6368	7814
449	6380	7798
450	6392	7781
451	6404	7765
452	6414	7744
453	6427	7729
454	6436	7709
455	6446	7691
456	6455	7670
457	6465	7651
458	6477	7634
459	6484	7612
460	6495	7594
461	6504	7574
462	6515	7556
463	6525	7538
464	6538	7523
465	6550	7506
466	6561	7488
467	6572	7470
468	6581	7451
469	6589	7431
470	6599	7412
471	6609	7393
472	6619	7375
473	6630	7358
474	6644	7343
475	6654	7325
476	6666	7309
477	6680	7295
478	6691	7277
479	6703	7261
480	6711	7241
481	6721	7223
482	6728	7202
483	6743	7189
484	6757	7175
485	6765	7155
486	6774	7136
487	6784	7118
488	6795	7101
489	6807	7084
490	6814	7064
491	6824	7046
492	6831	7025
493	6839	7005
494	6847	6986
495	6856	6967
496	6865	6948
497	6877	6932
498	6885	6913
499	6892	6892
500	6905	6877
501	6915	6860
502	6925	6843
503	6937	6827
504	6949	6811
505	6958	6793
506	6970	6778
507	6991	6771
508	6999	6752
509	7010	6735
510	7019	6717
511	7033	6703
512	7046	6689
513	7056	6672
514	7066	6654
515	7076	6637
516	7089	6623
517	7101	6607
518	7113	6592
519	7125	6577
520	7135	6559
521	7145	6543
522	7165	6535
523	7176	6519
524	7188	6503
525	7195	6484
526	7203	6465
527	7214	6449
528	7226	6434
529	7242	6422
530	7251	6404
531	7260	6387
532	7268	6368
533	7281	6354
534	7293	6339
535	7303	6322
536	7311	6304
537	7320	6286
538	7329	6269
539	7338	6251
540	7349	6235
541	7359	6219
542	7369	6202
543	7378	6184
544	7385	6165
545	7396	6150
546	7407	6134
547	7416	6117
548	7425	6099
549	7435	6083
550	7445	6066
551	7455	6050
552	7463	6032
553	7470	6014
554	7478	5996
555	7487	5978
556	7494	5960
557	7505	5944
558	7513	5927
559	7523	5911
560	7531	5893
561	7539	5875
562	7548	5859
563	7556	5841
564	7570	5828
565	7579	5811
566	7587	5793
567	7595	5776
568	7604	5760
569	7612	5742
570	7619	5724
571	7628	5707
572	7636	5691
573	7645	5674
574	7653	5657
575	7661	5639
576	7670	5622
577	7677	5605
578	7685	5588
579	7693	5570
580	7705	5556
581	7713	5539
582	7721	5522
583	7730	5506
584	7738	5489
585	7755	5479
586	7768	5465
587	7785	5455
588	7793	5438
589	7805	5424
590	7813	5407
591	7824	5392
592	7831	5375
593	7847	5364
594	7856	5347
595	7866	5332
596	7874	5315
597	7882	5299
598	7894	5284
599	7903	5269
600	7911	5252
601	7919	5235
602	7928	5219
603	7939	5205
604	7948	5189
605	7955	5172
606	7963	5156
607	7972	5140
608	7984	5126
609	7992	5110
610	8004	5096
611	8015	5081
612	8025	5066
613	8037	5052
614	8049	5039
615	8061	5025
616	8073	5011
617	8081	4995
618	8092	4980
619	8105	4967
620	8119	4955
621	8135	4943
622	8149	4931
623	8163	4919
624	8171	4902
625	8178	4886
626	8193	4874
627	8205	4860
628	8215	4845
629	8228	4832
630	8235	4815
631	8242	4799
632	8253	4784
633	8262	4769
634	8274	4756
635	8282	4740
636	8292	4725
637	8304	4711
638	8314	4697
639	8326	4683
640	8334	4667
641	8344	4653
642	8352	4637
643	8363	4623
644	8375	4609
645	8382	4593
646	8391	4578
647	8401	4563
648	8413	4550
649	8424	4536
650	8431	4520
651	8439	4504
652	8447	4489
653	8456	4473
654	8464	4458
655	8478	4445
656	8488	4431
657	8497	4416
658	8506	4401
659	8513	4385
660	8521	4370
661	8533	4356
662	8541	4341
663	8548	4325
664	8556	4310
665	8567	4296
666	8576	4282
667	8584	4266
668	8591	4250
669	8599	4235
670	8607	4220
671	8615	4205
672	8622	4189
673	8633	4175
674	8647	4163
675	8654	4148
676	8661	4132
677	8669	4117
678	8682	4104
679	8692	4090
680	8704	4077
681	8716	4064
682	8727	4050
683	8739	4037
684	8750	4023
685	8759	4009
686	8767	3994
687	8779	3981
688	8787	3966
689	8796	3951
690	8805	3937
691	8816	3924
692	8824	3909
693	8831	3893
694	8839	3879
695	8853	3866
696	8867	3854
697	8876	3840
698	8884	3825
699	8891	3810
700	8900	3796
701	8907	3781
702	8915	3766
703	8922	3751
704	8933	3737
705	8942	3723
706	8952	3710
707	8960	3695
708	8968	3681
709	8976	3666
710	8985	3652
711	8994	3638
712	9007	3625
713	9015	3611
714	9023	3596
715	9032	3582
716	9042	3568
717	9055	3556
718	9063	3542
719	9077	3530
720	9085	3515
721	9093	3501
722	9102	3487
723	9109	3472
724	9118	3458
725	9126	3444
726	9134	3430
727	9142	3415
728	9152	3402
729	9160	3388
730	9168	3373
731	9176	3359
732	9184	3345
733	9194	3332
734	9205	3318
735	9213	3304
736	9222	3291
737	9229	3276
738	9237	3262
739	9247	3249
740	9257	3235
741	9265	3221
742	9272	3207
743	9284	3194
744	9293	3180
745	9301	3167
746	9309	3152
747	9317	3139
748	9327	3125
749	9336	3112
750	9345	3098
751	9353	3084
752	9362	3070
753	9369	3056
754	9377	3042
755	9389	3030
756	9401	3017
757	9410	3004
758	9418	2990
759	9426	2976
760	9436	2963
761	9444	2949
762	9455	2936
763	9466	2924
764	9477	2911
765	9487	2898
766	9498	2885
767	9507	2872
768	9515	2858
769	9523	2844
770	9532	2831
771	9544	2818
772	9552	2805
773	9565	2792
774	9574	2779
775	9581	2765
776	9590	2752
777	9598	2739
778	9608	2725
779	9616	2712
780	9624	2698
781	9633	2685
782	9643	2672
783	9651	2659
784	9662	2646
785	9670	2632
786	9678	2619
787	9691	2607
788	9698	2593
789	9708	2580
790	9719	2568
791	9727	2554
792	9735	2541
793	9744	2528
794	9752	2514
795	9759	2501
796	9766	2487
797	9775	2474
798	9784	2461
799	9791	2447
800	9799	2434
801	9811	2422
802	9821	2409
803	9828	2396
804	9837	2382
805	9849	2370
806	9860	2358
807	9870	2345
808	9879	2332
809	9886	2319
810	9894	2305
811	9902	2292
812	9911	2279
813	9920	2266
814	9928	2253
815	9935	2240
816	9948	2228
817	9958	2215
818	9965	2202
819	9973	2189
820	9980	2176
821	9988	2162
822	9996	2149
823	10003	2136
824	10010	2123
825	10018	2110
826	10027	2097
827	10036	2084
828	10046	2072
829	10056	2059
830	10065	2046
831	10075	2034
832	10083	2021
833	10093	2008
834	10100	1995
835	10109	1983
836	10120	1970
837	10130	1958
838	10137	1945
839	10144	1932
840	10153	1919
841	10163	1907
842	10171	1894
843	10179	1881
844	10188	1868
845	10199	1856
846	10210	1844
847	10218	1831
848	10227	1819
849	10236	1806
850	10249	1794
851	10258	1781
852	10266	1769
853	10275	1756
854	10288	1744
855	10298	1732
856	10305	1719
857	10313	1706
858	10320	1694
859	10327	1681
860	10337	1668
861	10346	1656
862	10355	1643
863	10363	1631
864	10372	1618
865	10380	1606
866	10387	1593
867	10394	1580
868	10414	1569
869	10423	1557
870	10431	1544
871	10441	1532
872	10456	1521
873	10465	1508
874	10472	1496
875	10481	1483
876	10491	1471
877	10500	1459
878	10511	1446
879	10520	1434
880	10527	1422
881	10535	1409
882	10543	1397
883	10550	1384
884	10557	1371
885	10567	1359
886	10576	1347
887	10583	1334
888	10590	1322
889	10598	1309
890	10606	1297
891	10614	1285
892	10621	1272
893	10628	1260
894	10636	1247
895	10648	1235
896	10660	1224
897	10668	1211
898	10676	1199
899	10685	1187
900	10694	1175
901	10701	1162
902	10709	1150
903	10720	1138
904	10727	1126
905	10735	1113
906	10743	1101
907	10752	1089
908	10763	1077
909	10771	1065
910	10778	1053
911	10786	1040
912	10796	1028
913	10804	1016
914	10812	1004
915	10819	992
916	10827	980
917	10838	968
918	10846	955
919	10854	943
920	10861	931
921	10869	919
922	10876	907
923	10883	895
924	10892	883
925	10900	871
926	10907	858
927	10914	846
928	10923	834
929	10931	822
930	10938	810
931	10946	798
932	10955	786
933	10964	774
934	10971	762
935	10980	750
936	10990	738
937	10997	726
938	11004	714
939	11011	702
940	11022	691
941	11030	679
942	11037	667
943	11046	655
944	11053	643
945	11070	631
946	11079	620
947	11092	608
948	11103	596
949	11113	584
950	11121	573
951	11130	561
952	11140	549
953	11149	537
954	11157	525
955	11165	513
956	11173	502
957	11180	490
958	11188	478
959	11197	466
960	11206	454
961	11214	442
962	11221	431
963	11232	419
964	11240	407
965	11250	395
966	11258	384
967	11268	372
968	11276	360
969	11286	349
970	11296	337
971	11308	325
972	11317	314
973	11325	302
974	11335	290
975	11342	278
976	11350	267
977	11358	255
978	11366	243
979	11374	232
980	11383	220
981	11390	208
982	11398	197
983	11405	185
984	11414	173
985	11424	162
986	11431	150
987	11438	138
988	11447	127
989	11454	115
990	11462	104
991	11470	92
992	11479	80
993	11489	69
994	11503	57
995	11513	46
996	11525	34
997	11535	23
998	11542	11
999	11550	0
