iter	Logloss
0	0.6295385684
1	0.5697472944
2	0.5294296469
3	0.498393782
4	0.4558954474
5	0.4335918392
6	0.4112062388
7	0.3832517413
8	0.364237546
9	0.3539090874
10	0.338152035
11	0.3258822738
12	0.3131953675
13	0.2958459367
14	0.2912691686
15	0.2792051302
16	0.2694695841
17	0.2600438311
18	0.252468143
19	0.240028309
20	0.2337059882
21	0.2228564324
22	0.2195438982
23	0.2139535401
24	0.2100372824
25	0.2072851199
26	0.1987463989
27	0.1922355137
28	0.1897669528
29	0.1827154661
30	0.1801079374
31	0.1784882799
32	0.1736977177
33	0.1702814796
34	0.1679409624
35	0.1629017754
36	0.1591439699
37	0.1567588865
38	0.1531354702
39	0.1491348721
40	0.1470386112
41	0.1448367033
42	0.1402321734
43	0.1391716463
44	0.1382085412
45	0.1370167546
46	0.1339190706
47	0.1333227808
48	0.1281343645
49	0.1266229565
50	0.1259485674
51	0.123331698
52	0.1217469726
53	0.1213335895
54	0.1206855973
55	0.1197982275
56	0.1175300291
57	0.116222839
58	0.115672926
59	0.1152728658
60	0.1128482378
61	0.1121080943
62	0.1105432819
63	0.1095697857
64	0.105890002
65	0.1054379486
66	0.1046668554
67	0.1031681886
68	0.1027867082
69	0.1010696158
70	0.1006322148
71	0.09671676725
72	0.09635582147
73	0.09476331382
74	0.09389517323
75	0.09353080043
76	0.09273643383
77	0.09172217491
78	0.09026375876
79	0.08983364478
80	0.08852434124
81	0.08833661763
82	0.08795796559
83	0.08641221351
84	0.08607947351
85	0.0827280179
86	0.08223074393
87	0.08179346475
88	0.08121530933
89	0.08051611748
90	0.07838515416
91	0.07805752227
92	0.07696614492
93	0.07668570707
94	0.07617869807
95	0.07531297535
96	0.07499585565
97	0.07476721709
98	0.07434038303
99	0.0740433495
100	0.07366506846
101	0.07330277487
102	0.07277086223
103	0.0720953978
104	0.07182421583
105	0.07157967774
106	0.07141233564
107	0.07112642069
108	0.07033076418
109	0.07024957879
110	0.06977649613
111	0.06954073893
112	0.06862942446
113	0.06840058242
